iter	Passed	Remaining
400	19271	4757
401	19311	4707
402	19360	4659
403	19400	4609
404	19441	4560
405	19495	4513
406	19546	4466
407	19618	4423
408	19683	4379
409	19722	4329
410	19769	4281
411	19808	4231
412	19852	4181
413	19886	4131
414	19919	4079
415	20002	4039
416	20051	3991
417	20095	3942
418	20136	3892
419	20190	3845
420	20251	3800
421	20298	3751
422	20338	3702
423	20391	3655
424	20438	3606
425	20491	3559
426	20541	3511
427	20594	3464
428	20638	3415
429	20695	3368
430	20752	3322
431	20797	3273
432	20868	3229
433	20933	3183
434	20981	3135
435	21020	3085
436	21065	3036
437	21112	2988
438	21147	2938
439	21189	2889
440	21232	2840
441	21273	2791
442	21312	2742
443	21347	2692
444	21410	2646
445	21446	2596
446	21489	2547
447	21548	2501
448	21611	2454
449	21659	2406
450	21700	2357
451	21734	2308
452	21791	2260
453	21831	2211
454	21863	2162
455	21899	2113
456	21934	2063
457	22010	2018
458	22064	1970
459	22112	1922
460	22157	1874
461	22211	1826
462	22253	1778
463	22304	1730
464	22347	1682
465	22420	1635
466	22461	1587
467	22545	1541
468	22614	1494
469	22681	1447
470	22755	1401
471	22810	1353
472	22851	1304
473	22907	1256
474	22949	1207
475	22985	1158
476	23024	1110
477	23063	1061
478	23106	1013
479	23164	965
480	23211	916
481	23258	868
482	23294	819
483	23340	771
484	23376	722
485	23452	675
486	23496	627
487	23537	578
488	23583	530
489	23619	482
490	23662	433
491	23724	385
492	23768	337
493	23834	289
494	23868	241
495	23952	193
496	24006	144
497	24060	96
498	24139	48
499	24201	0
