iter	Logloss
161	0.2031012387
162	0.2025154213
163	0.2020934238
164	0.201779722
165	0.2011570685
166	0.2007084719
167	0.2002910525
168	0.1997352364
169	0.1993581999
170	0.1988904688
171	0.1981624307
172	0.1977480083
173	0.1973184913
174	0.1967360523
175	0.1963837085
176	0.1954804393
177	0.1944440257
178	0.1931610546
179	0.1926949067
180	0.1923973732
181	0.1917217104
182	0.1913401791
183	0.1910098074
184	0.1901926686
185	0.1898867441
186	0.18957683
187	0.1892914834
188	0.1888379244
189	0.188006566
190	0.1865382533
191	0.1861848522
192	0.1858875091
193	0.1851885354
194	0.1846520635
195	0.184157917
196	0.1839372367
197	0.1836326432
198	0.1832804481
199	0.182781372
200	0.1817669099
201	0.1814648342
202	0.1803111256
203	0.1797647013
204	0.1793240443
205	0.1785225909
206	0.1782148917
207	0.1775358437
208	0.1766458991
209	0.1763122655
210	0.1760118246
211	0.1757079083
212	0.1753021117
213	0.1738583015
214	0.1734263862
215	0.1730439585
216	0.1725098624
217	0.1722391665
218	0.171770384
219	0.1713337929
220	0.1705059258
221	0.1697934061
222	0.1693310646
223	0.1690021933
224	0.168442877
225	0.1681950341
226	0.1679192261
227	0.1676865766
228	0.1672303057
229	0.1669946527
230	0.1664514515
231	0.1661262246
232	0.1653542873
233	0.1650615224
234	0.1647751324
235	0.1637818954
236	0.1635436436
237	0.162928521
238	0.1626980531
239	0.1623215344
240	0.1615518165
241	0.1611300641
242	0.1609554046
243	0.1606436999
244	0.1603170659
245	0.1600861835
246	0.1594307959
247	0.1592203424
248	0.158876845
249	0.1586017178
250	0.1581765089
251	0.1573354656
252	0.1571774396
253	0.1569242976
254	0.1564313248
255	0.1561796384
256	0.1557120415
257	0.1554469075
258	0.155155373
259	0.1549001847
260	0.1545787635
261	0.1542744426
262	0.1539972184
263	0.1537589946
264	0.1532569324
265	0.1530836548
266	0.1529162012
267	0.1527309337
268	0.1525437215
269	0.152386217
270	0.1521673322
271	0.151600621
272	0.1513601683
273	0.1511923247
274	0.1504878797
275	0.1495933105
276	0.1492793168
277	0.1490135702
278	0.1488288278
279	0.1485097489
280	0.148212396
281	0.147828129
282	0.1475751773
283	0.1473573554
284	0.1470372533
285	0.146628267
286	0.1460522822
287	0.1457320883
288	0.1453884053
289	0.144990573
290	0.1447710406
291	0.1445691419
292	0.1443740632
293	0.1442106997
294	0.1438843216
295	0.1434231085
296	0.1432341591
297	0.1429968918
298	0.1427603779
299	0.1425959946
300	0.1423802091
301	0.1420586052
302	0.1418884042
303	0.1414407037
304	0.140952184
305	0.1405636435
306	0.1402727809
307	0.1396566874
308	0.1394410609
309	0.1392652388
310	0.1390318762
311	0.1387330244
312	0.1385109039
313	0.1381033709
314	0.1375689528
315	0.1366201435
316	0.1363118488
317	0.1360818089
318	0.1359566431
319	0.1358166151
320	0.1356059541
321	0.1353576304
322	0.1351768374
323	0.1347213551
324	0.1343264617
325	0.1338958477
326	0.1332975385
327	0.1327641531
328	0.1323859981
329	0.1322055678
330	0.1320724639
331	0.1319325099
332	0.1317834468
333	0.1315823995
334	0.1313701473
335	0.1312076535
336	0.131011705
337	0.1308706067
338	0.1307210533
339	0.130544225
340	0.1303699435
341	0.1301953135
342	0.1300137415
343	0.1298196364
344	0.1296690441
345	0.1294489233
346	0.1292642444
347	0.1290070518
348	0.128835275
349	0.1281920356
350	0.1279636135
351	0.1277502679
352	0.1275781975
353	0.1273157495
354	0.1270774439
355	0.1268733313
356	0.1267391817
357	0.126594496
358	0.1258187663
359	0.1256580511
360	0.1255113535
361	0.1252467302
362	0.1251029262
363	0.1248970466
364	0.1247102653
365	0.1245403149
366	0.1242070588
367	0.1240862828
368	0.1236111601
369	0.1234659196
370	0.1231879965
371	0.12305953
372	0.1229468339
373	0.1225929327
374	0.1224404119
375	0.1221708719
376	0.1219647549
377	0.1217909947
378	0.1216639785
379	0.1214836632
380	0.1213419285
381	0.1212104382
382	0.1210150845
383	0.1208936792
384	0.120573585
385	0.1202280837
386	0.1198703388
387	0.1195447835
388	0.1193857051
389	0.1192275087
390	0.1190954803
391	0.1189678545
392	0.1188289656
393	0.118544352
394	0.1184275445
395	0.1182977167
396	0.1182040813
397	0.1180912963
398	0.1179019541
399	0.1177320052
400	0.1175432181
401	0.1173359923
402	0.1171732928
403	0.1170221501
404	0.1168463145
405	0.1165999001
406	0.116477683
407	0.1163093408
408	0.1161221578
409	0.1160175864
410	0.1159016232
411	0.115703317
412	0.1153421293
413	0.1151897486
414	0.1150902931
415	0.1149743477
416	0.1148857095
417	0.1147518393
418	0.1146731387
419	0.1145594649
420	0.114287917
421	0.1138567135
422	0.1137596801
423	0.1133085613
424	0.1131540936
425	0.1130381613
426	0.1128717856
427	0.1125728828
428	0.1123825133
429	0.1122586802
430	0.1119750575
431	0.1118308482
432	0.111387172
433	0.1111409068
434	0.1107275752
435	0.110624129
436	0.1103354588
437	0.1102067244
438	0.1101225143
439	0.1097930527
440	0.1094936645
441	0.1093918075
442	0.1091962013
443	0.1090146005
444	0.1088832344
445	0.1087767215
446	0.1086314783
447	0.1085161167
448	0.1084235761
449	0.1081745145
450	0.1080380707
451	0.1079122937
452	0.1077843095
453	0.1075744458
454	0.1075038175
455	0.1073879163
456	0.1072292443
457	0.1070968807
458	0.1069710459
459	0.1068299093
460	0.1066322547
461	0.1064756661
462	0.1063901807
463	0.1062436418
464	0.1061560481
465	0.1060231373
466	0.1059095294
467	0.1058164797
468	0.1054977757
469	0.1053775818
470	0.1050611618
471	0.1049229085
472	0.1047999701
473	0.1045980178
474	0.1043911452
475	0.1042696438
476	0.1040124453
477	0.1039047809
478	0.1036519913
479	0.1033279349
480	0.1031908534
481	0.1028915278
482	0.1027958668
483	0.1026581125
484	0.10250586
485	0.1023691887
486	0.1022781518
487	0.1021558594
488	0.101959013
489	0.1018137594
490	0.1017129078
491	0.1016269934
492	0.1015300554
493	0.1014278193
494	0.1013156896
495	0.1011076098
496	0.1009811701
497	0.1008216556
498	0.1005654421
499	0.1003662071
